2026-01-14 14:12:57 | INFO     | __main__:lifespan:24 - 正在初始化数据库...
2026-01-14 14:12:57 | INFO     | app.auth.service:init_db:36 - 数据库初始化完成: /storage/emulated/0/000github/CLIProxyAPI-Python/data/auth.db
2026-01-14 14:12:57 | INFO     | app.stores.service:init_db:81 - 存储数据库初始化完成: /storage/emulated/0/000github/CLIProxyAPI-Python/data/stores.db
2026-01-14 14:12:57 | INFO     | app.proxy.service:init_db:41 - 代理数据库初始化完成: /storage/emulated/0/000github/CLIProxyAPI-Python/data/proxies.db
2026-01-14 14:12:57 | INFO     | __main__:lifespan:29 - 所有服务初始化完成
2026-01-14 14:12:57 | INFO     | __main__:lifespan:38 - 正在关闭服务...
2026-01-14 14:12:57 | INFO     | __main__:lifespan:40 - 服务已关闭
2026-01-16 20:55:20 | INFO     | __main__:lifespan:26 - 正在初始化数据库...
2026-01-16 20:55:20 | INFO     | app.auth.service:init_db:36 - 数据库初始化完成: /workspace/github_project/CLIProxyAPI-Python/data/auth.db
2026-01-16 20:55:20 | INFO     | app.stores.service:init_db:81 - 存储数据库初始化完成: /workspace/github_project/CLIProxyAPI-Python/data/stores.db
2026-01-16 20:55:20 | INFO     | app.proxy.service:init_db:41 - 代理数据库初始化完成: /workspace/github_project/CLIProxyAPI-Python/data/proxies.db
2026-01-16 20:55:20 | INFO     | __main__:lifespan:31 - 所有服务初始化完成
2026-01-16 20:55:24 | INFO     | __main__:lifespan:40 - 正在关闭服务...
2026-01-16 20:55:24 | INFO     | __main__:lifespan:43 - 服务已关闭
2026-01-16 20:56:36 | ERROR    | app.iflow.service:start:54 - 启动 iFlow OAuth 服务器失败: Server.__init__() missing 6 required positional arguments: 'loop', 'sockets', 'protocol_factory', 'ssl_context', 'backlog', and 'ssl_handshake_timeout'
2026-01-16 20:57:32 | INFO     | app.iflow.service:start:56 - iFlow OAuth 服务器已启动，端口: 11452
2026-01-16 20:57:32 | INFO     | app.iflow.service:stop:185 - iFlow OAuth 服务器已停止
2026-01-16 21:14:30 | INFO     | app.iflow.service:start:62 - iFlow OAuth 服务器已启动，端口: 11452
2026-01-16 21:14:30 | INFO     | app.iflow.service:stop:190 - iFlow OAuth 服务器已停止
2026-01-16 21:15:02 | INFO     | __main__:lifespan:26 - 正在初始化数据库...
2026-01-16 21:15:02 | INFO     | app.auth.service:init_db:36 - 数据库初始化完成: /workspace/github_project/CLIProxyAPI-Python/data/auth.db
2026-01-16 21:15:02 | INFO     | app.stores.service:init_db:81 - 存储数据库初始化完成: /workspace/github_project/CLIProxyAPI-Python/data/stores.db
2026-01-16 21:15:02 | INFO     | app.proxy.service:init_db:41 - 代理数据库初始化完成: /workspace/github_project/CLIProxyAPI-Python/data/proxies.db
2026-01-16 21:15:02 | INFO     | __main__:lifespan:31 - 所有服务初始化完成
2026-01-16 21:15:11 | INFO     | __main__:lifespan:40 - 正在关闭服务...
2026-01-16 21:15:11 | INFO     | __main__:lifespan:43 - 服务已关闭
2026-01-17 10:00:12 | INFO     | __main__:lifespan:111 - 正在初始化数据库...
2026-01-17 10:00:12 | INFO     | app.auth.service:init_db:36 - 数据库初始化完成: /storage/emulated/0/000github/CLIProxyAPI-Python/data/auth.db
2026-01-17 10:00:12 | INFO     | app.stores.service:init_db:81 - 存储数据库初始化完成: /storage/emulated/0/000github/CLIProxyAPI-Python/data/stores.db
2026-01-17 10:00:12 | INFO     | app.proxy.service:init_db:41 - 代理数据库初始化完成: /storage/emulated/0/000github/CLIProxyAPI-Python/data/proxies.db
2026-01-17 10:00:12 | INFO     | __main__:lifespan:116 - 所有服务初始化完成
2026-01-17 10:00:12 | INFO     | __main__:lifespan:125 - 正在关闭服务...
2026-01-17 10:00:12 | INFO     | __main__:lifespan:128 - 服务已关闭
2026-01-17 10:04:45 | INFO     | __main__:lifespan:111 - 正在初始化数据库...
2026-01-17 10:04:45 | INFO     | app.auth.service:init_db:36 - 数据库初始化完成: /storage/emulated/0/000github/CLIProxyAPI-Python/data/auth.db
2026-01-17 10:04:45 | INFO     | app.stores.service:init_db:81 - 存储数据库初始化完成: /storage/emulated/0/000github/CLIProxyAPI-Python/data/stores.db
2026-01-17 10:04:45 | INFO     | app.proxy.service:init_db:41 - 代理数据库初始化完成: /storage/emulated/0/000github/CLIProxyAPI-Python/data/proxies.db
2026-01-17 10:04:45 | INFO     | __main__:lifespan:116 - 所有服务初始化完成
2026-01-17 10:05:03 | INFO     | __main__:v1_chat_completions:265 - ===== CHAT REQUEST =====
2026-01-17 10:05:03 | INFO     | __main__:v1_chat_completions:266 - 客户端: 127.0.0.1:58348
2026-01-17 10:05:03 | INFO     | __main__:v1_chat_completions:267 - User-Agent: Mozilla/5.0 (Linux; Android 10) AppleWebKit/537.36
2026-01-17 10:05:03 | INFO     | __main__:v1_chat_completions:268 - Accept: text/event-stream
2026-01-17 10:05:03 | INFO     | __main__:v1_chat_completions:269 - Content-Type: application/json
2026-01-17 10:05:03 | INFO     | __main__:v1_chat_completions:270 - Authorization: Bearer [short]
2026-01-17 10:05:03 | INFO     | __main__:v1_chat_completions:271 - 完整请求头: {'host': 'localhost:8000', 'user-agent': 'Mozilla/5.0 (Linux; Android 10) AppleWebKit/537.36', 'accept-encoding': 'gzip, deflate', 'accept': 'text/event-stream', 'connection': 'keep-alive', 'content-type': 'application/json', 'authorization': 'Bearer', 'content-length': '28480'}
2026-01-17 10:05:03 | INFO     | __main__:v1_chat_completions:272 - 请求时间: 2026-01-17T10:05:03.957191
2026-01-17 10:05:03 | INFO     | __main__:v1_chat_completions:273 - =======================
2026-01-17 10:05:03 | INFO     | __main__:v1_chat_completions:298 - 请求参数 - model: 18132128919-tstars2.0, messages: 13, stream: True (默认启用)
2026-01-17 10:05:03 | INFO     | __main__:v1_chat_completions:305 - 从模型名提取邮箱: 18132...28919
2026-01-17 10:05:39 | INFO     | __main__:v1_chat_completions:265 - ===== CHAT REQUEST =====
2026-01-17 10:05:39 | INFO     | __main__:v1_chat_completions:266 - 客户端: 127.0.0.1:38444
2026-01-17 10:05:39 | INFO     | __main__:v1_chat_completions:267 - User-Agent: Mozilla/5.0 (Linux; Android 10) AppleWebKit/537.36
2026-01-17 10:05:39 | INFO     | __main__:v1_chat_completions:268 - Accept: text/event-stream
2026-01-17 10:05:39 | INFO     | __main__:v1_chat_completions:269 - Content-Type: application/json
2026-01-17 10:05:39 | INFO     | __main__:v1_chat_completions:270 - Authorization: Bearer [short]
